symbol,name,currency,exchange,type
AXO,Axo Copper Corp.,CAD,TSXV,Common Stock
AZC.PR.,A2ZCryptoCap Inc.,CAD,TSXV,Common Stock
AZM,Azimut Exploration Inc.,CAD,TSXV,Common Stock
AZR,Azarga Metals Corp.,CAD,TSXV,Common Stock
AZS,Arizona Gold & Silver Inc.,CAD,TSXV,Common Stock
AZT,Aztec Minerals Corp.,CAD,TSXV,Common Stock
B,Bcm Resources Corp,CAD,TSXV,Common Stock
BAG,Blende Silver Corp.,CAD,TSXV,Common Stock
BAL.H,Balto Resources Ltd.,CAD,TSXV,Common Stock
BARK,Black Spruce Exploration Inc.,CAD,TSXV,Common Stock
BARU,Baru Gold Corp.,CAD,TSXV,Common Stock
BAT,Batero Gold Corp.,CAD,TSXV,Common Stock
BAU,Blue Star Gold Corp.,CAD,TSXV,Common Stock
BAV.H,Bravern Ventures Ltd.,CAD,TSXV,Common Stock
BAY,Aston Bay Holdings Ltd.,CAD,TSXV,Common Stock
BBB,Brixton Metals Corporation,CAD,TSXV,Common Stock
BCC.H,Bantam Capital Corp,CAD,TSXV,Common Stock
BCM,Bear Creek Mining Corporation,CAD,TSXV,Common Stock
BCU,Bell Copper Corporation,CAD,TSXV,Common Stock
BDGC.H,Boundary Gold and Copper Mining Ltd.,CAD,TSXV,Common Stock
BEA,Belmont Resources Inc.,CAD,TSXV,Common Stock
BECN,Beacon Wizardry & Magic Inc.,CAD,TSXV,Common Stock
BEEP,Geiger Energy Corporation,CAD,TSXV,Common Stock
BEM,"DYD Co., Ltd.",CAD,TSXV,Common Stock
BER.H,BE Resources Inc.,CAD,TSXV,Common Stock
BES,Braille Energy Systems Inc.,CAD,TSXV,Common Stock
BET,NorthStar Gaming Holdings Inc.,CAD,TSXV,Common Stock
BEW,Bewhere Holdings Inc.,CAD,TSXV,Common Stock
BEX,Benton Resources Inc.,CAD,TSXV,Common Stock
BFM,Bedford Metals Corp.,CAD,TSXV,Common Stock
BGA,Bioneutra Global Corporation,CAD,TSXV,Common Stock
BGD,Bullion Gold Resources Corp.,CAD,TSXV,Common Stock
BGF,Beauce Gold Fields Inc.,CAD,TSXV,Common Stock
BHS,Bayhorse Silver Inc.,CAD,TSXV,Common Stock
BIG,Hercules Metals Corp,CAD,TSXV,Common Stock
BIGG,Bigg Digital Assets Inc.,CAD,TSXV,Common Stock
BIGT,Big Tree Carbon Inc.,CAD,TSXV,Common Stock
BILD,BuildDirect.com Technologies Inc.,CAD,TSXV,Common Stock
BIRD,Thunderbird Minerals Corp,CAD,TSXV,Common Stock
BITK,BlockchainK2 Corp.,CAD,TSXV,Common Stock
BKM,Pacific Booker Minerals Inc.,CAD,TSXV,Common Stock
BKMT,Blockmint Technologies Inc.,CAD,TSXV,Common Stock
BLDS,Badlands Resources Inc.,CAD,TSXV,Common Stock
BLM,BluMetric Environmental Inc.,CAD,TSXV,Common Stock
BLOK.H,Blok Digital Ltd.,CAD,TSXV,Common Stock
BLTC.PR.,Baltic I Acquisition Corp.,CAD,TSXV,Preferred Stock
BLU,BluEnergies Ltd.,CAD,TSXV,Common Stock
